weight/imperial,weight/metric,height/imperial,height/metric,id,name,bred_for,breed_group,life_span,temperament,origin,reference_image_id,image/id,image/width,image/height,image/url,country_code,description,history
10 - 18,5 - 8,9.5 - 11.5,24 - 29,42,Bichon Frise,Companion,Non-Sporting,15 years,"Feisty, Affectionate, Cheerful, Playful, Gentle, Sensitive",,HkuYlxqEQ,HkuYlxqEQ,480,360,https://cdn2.thedogapi.com/images/HkuYlxqEQ.jpg,,,
65 - 100,29 - 45,23 - 27,58 - 69,43,Black and Tan Coonhound,"Hunting raccoons, night hunting",Hound,10 - 12 years,"Easygoing, Gentle, Adaptable, Trusting, Even Tempered, Lovable",,HJAFgxcNQ,HJAFgxcNQ,556,380,https://cdn2.thedogapi.com/images/HJAFgxcNQ.jpg,,,
80 - 110,36 - 50,23 - 27,58 - 69,45,Bloodhound,Trailing,Hound,8 - 10 years,"Stubborn, Affectionate, Gentle, Even Tempered",,Skdcgx9VX,Skdcgx9VX,586,600,https://cdn2.thedogapi.com/images/Skdcgx9VX.jpg,,,
45 - 80,20 - 36,21 - 27,53 - 69,47,Bluetick Coonhound,Hunting with a superior sense of smell.,Hound,12 - 14 years,"Friendly, Intelligent, Active",,rJxieg9VQ,rJxieg9VQ,731,599,https://cdn2.thedogapi.com/images/rJxieg9VQ.jpg,,,
110 - 200,50 - 91,22 - 27,56 - 69,48,Boerboel,"Guarding the homestead, farm work.",Working,10 - 12 years,"Obedient, Confident, Intelligent, Dominant, Territorial",,HyOjge5Vm,HyOjge5Vm,1200,669,https://cdn2.thedogapi.com/images/HyOjge5Vm.jpg,,,
30 - 45,14 - 20,18 - 22,46 - 56,50,Border Collie,Sheep herder,Herding,12 - 16 years,"Tenacious, Keen, Energetic, Responsive, Alert, Intelligent",,sGQvQUpsp,sGQvQUpsp,1080,1080,https://cdn2.thedogapi.com/images/sGQvQUpsp.jpg,,,
11.5 - 15.5,5 - 7,11 - 16,28 - 41,51,Border Terrier,"Fox bolting, ratting",Terrier,12 - 14 years,"Fearless, Affectionate, Alert, Obedient, Intelligent, Even Tempered",,HJOpge9Em,HJOpge9Em,674,450,https://cdn2.thedogapi.com/images/HJOpge9Em.jpg,,,
10 - 25,5 - 11,16 - 17,41 - 43,53,Boston Terrier,"Ratting, Companionship",Non-Sporting,11 - 13 years,"Friendly, Lively, Intelligent",,rkZRggqVX,rkZRggqVX,1010,673,https://cdn2.thedogapi.com/images/rkZRggqVX.jpg,,,
70 - 110,32 - 50,23.5 - 27.5,60 - 70,54,Bouvier des Flandres,Cattle herding,Herding,10 - 15 years,"Protective, Loyal, Gentle, Intelligent, Familial, Rational",,Byd0xl5VX,Byd0xl5VX,680,454,https://cdn2.thedogapi.com/images/Byd0xl5VX.jpg,,,
50 - 70,23 - 32,21.5 - 25,55 - 64,55,Boxer,"Bull-baiting, guardian",Working,8 - 10 years,"Devoted, Fearless, Friendly, Cheerful, Energetic, Loyal, Playful, Confident, Intelligent, Bright, Brave, Calm",,ry1kWe5VQ,ry1kWe5VQ,645,430,https://cdn2.thedogapi.com/images/ry1kWe5VQ.jpg,,,
25 - 40,11 - 18,14 - 18,36 - 46,56,Boykin Spaniel,Turkey retrieving,Sporting,10 - 14 years,"Friendly, Energetic, Companionable, Intelligent, Eager, Trainable",,ryHJZlcNX,ryHJZlcNX,577,634,https://cdn2.thedogapi.com/images/ryHJZlcNX.jpg,,,
55 - 88,25 - 40,21.5 - 26.5,55 - 67,57,Bracco Italiano,Versatile gun dog,Sporting,10 - 12 years,"Stubborn, Affectionate, Loyal, Playful, Companionable, Trainable",,S13yZg5VQ,S13yZg5VQ,750,505,https://cdn2.thedogapi.com/images/S13yZg5VQ.jpg,,,
70 - 90,32 - 41,22 - 27,56 - 69,58,Briard,"Herding, guarding sheep",Herding,10 - 12 years,"Fearless, Loyal, Obedient, Intelligent, Faithful, Protective",,rkVlblcEQ,rkVlblcEQ,768,576,https://cdn2.thedogapi.com/images/rkVlblcEQ.jpg,,,
30 - 45,14 - 20,17.5 - 20.5,44 - 52,59,Brittany,"Pointing, retrieving",Sporting,12 - 14 years,"Agile, Adaptable, Quick, Intelligent, Attentive, Happy",,HJWZZxc4X,HJWZZxc4X,900,600,https://cdn2.thedogapi.com/images/HJWZZxc4X.jpg,,,
50 - 70,23 - 32,21 - 22,53 - 56,61,Bull Terrier,"Bull baiting, Fighting",Terrier,10 - 12 years,"Trainable, Protective, Sweet-Tempered, Keen, Active",,VSraIEQGd,VSraIEQGd,1080,1080,https://cdn2.thedogapi.com/images/VSraIEQGd.jpg,,,
25 - 33,11 - 15,10 - 14,25 - 36,62,Bull Terrier (Miniature),An elegant man's fashion statement,,11 – 14 years,"Trainable, Protective, Sweet-Tempered, Keen, Active, Territorial",,BkKZWlcVX,BkKZWlcVX,674,450,https://cdn2.thedogapi.com/images/BkKZWlcVX.jpg,,,
100 - 130,45 - 59,24 - 27,61 - 69,64,Bullmastiff,Estate guardian,Working,8 - 12 years,"Docile, Reliable, Devoted, Alert, Loyal, Reserved, Loving, Protective, Powerful, Calm, Courageous",,r1ifZl5E7,r1ifZl5E7,850,638,https://cdn2.thedogapi.com/images/r1ifZl5E7.jpg,,,
13 - 14,6 - 6,9 - 10,23 - 25,65,Cairn Terrier,"Bolting of otter, foxes, other vermin",Terrier,14 - 15 years,"Hardy, Fearless, Assertive, Gay, Intelligent, Active",,Sk7Qbg9E7,Sk7Qbg9E7,1254,836,https://cdn2.thedogapi.com/images/Sk7Qbg9E7.jpg,,,
88 - 120,40 - 54,23.5 - 27.5,60 - 70,67,Cane Corso,"Companion, guard dog, and hunter",Working,10 - 11 years,"Trainable, Reserved, Stable, Quiet, Even Tempered, Calm",,r15m-lc4m,r15m-lc4m,645,380,https://cdn2.thedogapi.com/images/r15m-lc4m.jpg,,,
25 - 38,11 - 17,10.5 - 12.5,27 - 32,68,Cardigan Welsh Corgi,Cattle droving,Herding,12 - 14 years,"Affectionate, Devoted, Alert, Companionable, Intelligent, Active",,SyXN-e9NX,SyXN-e9NX,800,600,https://cdn2.thedogapi.com/images/SyXN-e9NX.jpg,,,
50 - 95,23 - 43,20 - 26,51 - 66,69,Catahoula Leopard Dog,Driving livestock,Herding,10 - 12 years,"Energetic, Inquisitive, Independent, Gentle, Intelligent, Loving",,BJcNbec4X,BJcNbec4X,650,650,https://cdn2.thedogapi.com/images/BJcNbec4X.jpg,,,
80 - 100,36 - 45,24 - 33.5,61 - 85,70,Caucasian Shepherd (Ovcharka),"Guard dogs, defending sheep from predators, mainly wolves, jackals and bears",Working,10 - 12 years,"Alert, Quick, Dominant, Powerful, Calm, Strong",,r1rrWe5Em,r1rrWe5Em,1024,682,https://cdn2.thedogapi.com/images/r1rrWe5Em.jpg,,,
13 - 18,6 - 8,12 - 13,30 - 33,71,Cavalier King Charles Spaniel,"Flushing small birds, companion",Toy,10 - 14 years,"Fearless, Affectionate, Sociable, Patient, Playful, Adaptable",,HJRBbe94Q,HJRBbe94Q,961,558,https://cdn2.thedogapi.com/images/HJRBbe94Q.jpg,,,
55 - 80,25 - 36,21 - 26,53 - 66,76,Chesapeake Bay Retriever,Water Retriever,Sporting,10 - 13 years,"Affectionate, Intelligent, Quiet, Dominant, Happy, Protective",,9BXwUeCc2,9BXwUeCc2,600,600,https://cdn2.thedogapi.com/images/9BXwUeCc2.jpg,,,
10 - 13,5 - 6,11 - 13,28 - 33,78,Chinese Crested,"Ratting, lapdog, curio",Toy,10 - 14 years,"Affectionate, Sweet-Tempered, Lively, Alert, Playful, Happy",,B1pDZx9Nm,B1pDZx9Nm,1200,798,https://cdn2.thedogapi.com/images/B1pDZx9Nm.jpg,,,
45 - 60,20 - 27,18 - 20,46 - 51,79,Chinese Shar-Pei,Fighting,Non-Sporting,10 years,"Suspicious, Affectionate, Devoted, Reserved, Independent, Loving",,B1ruWl94Q,B1ruWl94Q,1049,761,https://cdn2.thedogapi.com/images/B1ruWl94Q.jpg,,,
50 - 90,23 - 41,22 - 26,56 - 66,80,Chinook,Sled pulling,Working,12 - 15 years,"Friendly, Alert, Dignified, Intelligent, Calm",,Sypubg54Q,Sypubg54Q,600,478,https://cdn2.thedogapi.com/images/Sypubg54Q.jpg,,,
40 - 70,18 - 32,17 - 20,43 - 51,81,Chow Chow,"Guardian, cart pulling, hunting",Non-Sporting,12 - 15 years,"Aloof, Loyal, Independent, Quiet",,ry8KWgqEQ,ry8KWgqEQ,1010,673,https://cdn2.thedogapi.com/images/ry8KWgqEQ.jpg,,,
55 - 85,25 - 39,17 - 20,43 - 51,84,Clumber Spaniel,"Bird flushing, retrieving",Sporting,10 - 12 years,"Affectionate, Loyal, Dignified, Gentle, Calm, Great-hearted",,rkeqWgq4Q,rkeqWgq4Q,762,533,https://cdn2.thedogapi.com/images/rkeqWgq4Q.jpg,,,
20 - 30,9 - 14,14 - 15,36 - 38,86,Cocker Spaniel,"Bird flushing, retrieving",Sporting,12 - 15 years,"Trainable, Friendly, Affectionate, Playful, Quiet, Faithful",,1lFmrzECl,1lFmrzECl,1080,1080,https://cdn2.thedogapi.com/images/1lFmrzECl.jpg,,,
20 - 30,9 - 14,14 - 15,36 - 38,87,Cocker Spaniel (American),Hunting the American woodcock,Sporting,12 - 15 years,"Outgoing, Sociable, Trusting, Joyful, Even Tempered, Merry",,HkRcZe547,HkRcZe547,1024,640,https://cdn2.thedogapi.com/images/HkRcZe547.jpg,,,
9 - 15,4 - 7,9 - 11,23 - 28,89,Coton de Tulear,"Accompanying ladies on long sea voyages, ratters onboard ship.",Non-Sporting,13 - 16 years,"Affectionate, Lively, Playful, Intelligent, Trainable, Vocal",,SyviZlqNm,SyviZlqNm,2464,1638,https://cdn2.thedogapi.com/images/SyviZlqNm.jpg,,,
50 - 55,23 - 25,19 - 23,48 - 58,92,Dalmatian,Carriage dog - trot alongside carriages to protect the occupants from banditry or other interference,Non-Sporting,10 - 13 years,"Outgoing, Friendly, Energetic, Playful, Sensitive, Intelligent, Active",,SkJ3blcN7,SkJ3blcN7,1200,800,https://cdn2.thedogapi.com/images/SkJ3blcN7.jpg,,,
66 - 88,30 - 40,24 - 28,61 - 71,94,Doberman Pinscher,Guardian,Working,10 years,"Fearless, Energetic, Alert, Loyal, Obedient, Confident, Intelligent",,HyL3bl94Q,HyL3bl94Q,1140,640,https://cdn2.thedogapi.com/images/HyL3bl94Q.jpg,,,
80 - 100,36 - 45,23.5 - 27,60 - 69,95,Dogo Argentino,Big-game hunting,Working,10 - 12 years,"Friendly, Affectionate, Cheerful, Loyal, Tolerant, Protective",,S1nhWx94Q,S1nhWx94Q,650,467,https://cdn2.thedogapi.com/images/S1nhWx94Q.jpg,,,
50 - 70,23 - 32,22 - 24.5,56 - 62,98,Dutch Shepherd,"Farms, watchdog, guard duty",,15 years,"Reliable, Affectionate, Alert, Loyal, Obedient, Trainable",,BkE6Wg5E7,BkE6Wg5E7,856,511,https://cdn2.thedogapi.com/images/BkE6Wg5E7.jpg,,,
45 - 80,20 - 36,24 - 25,61 - 64,101,English Setter,"Bird setting, retrieving",Sporting,12 years,"Strong Willed, Mischievous, Affectionate, Energetic, Playful, Companionable, Gentle, Hard-working, Intelligent, Eager, People-Oriented",,By4A-eqVX,By4A-eqVX,1024,683,https://cdn2.thedogapi.com/images/By4A-eqVX.jpg,,,
44 - 66,20 - 30,18 - 23,46 - 58,102,English Shepherd,"Herding & guarding livestock, farm watch dog",Working,10 - 13 years,"Kind, Energetic, Independent, Adaptable, Intelligent, Bossy",,H1QyMe5EQ,H1QyMe5EQ,1920,1280,https://cdn2.thedogapi.com/images/H1QyMe5EQ.jpg,,,
35 - 50,16 - 23,19 - 20,48 - 51,103,English Springer Spaniel,"Bird flushing, retrieving",Sporting,12 - 14 years,"Affectionate, Cheerful, Alert, Intelligent, Attentive, Active",,Hk0Jfe5VQ,Hk0Jfe5VQ,1440,1080,https://cdn2.thedogapi.com/images/Hk0Jfe5VQ.jpg,,,
8 - 14,4 - 6,10,25,104,English Toy Spaniel,Companion of kings,Toy,10 - 12 years,"Affectionate, Reserved, Playful, Gentle, Happy, Loving",,SkIgzxqNQ,SkIgzxqNQ,800,696,https://cdn2.thedogapi.com/images/SkIgzxqNQ.jpg,,,
6 - 8,3 - 4,10 - 12,25 - 30,105,English Toy Terrier,Rat-baiting,,12 - 13 years,"Stubborn, Alert, Companionable, Intelligent, Cunning, Trainable",,SJ6eMxqEQ,SJ6eMxqEQ,645,430,https://cdn2.thedogapi.com/images/SJ6eMxqEQ.jpg,,,
40 - 70,18 - 32,20.5 - 23.5,52 - 60,107,Eurasier,Companionship,Non-Sporting,12 - 14 years,"Alert, Reserved, Intelligent, Even Tempered, Watchful, Calm",,S1VWGx9Nm,S1VWGx9Nm,800,532,https://cdn2.thedogapi.com/images/S1VWGx9Nm.jpg,,,
35 - 50,16 - 23,17 - 18,43 - 46,108,Field Spaniel,"Bird flushing, retrieving",Sporting,11 - 15 years,"Docile, Cautious, Sociable, Sensitive, Adaptable, Familial",,SkJfGecE7,SkJfGecE7,1280,906,https://cdn2.thedogapi.com/images/SkJfGecE7.jpg,,,
33 - 53,15 - 24,16 - 21,41 - 53,110,Finnish Lapphund,Herding reindeer,Herding,12 - 15 years,"Friendly, Keen, Faithful, Calm, Courageous",,S1KMGg5Vm,S1KMGg5Vm,1066,800,https://cdn2.thedogapi.com/images/S1KMGg5Vm.jpg,,,
23 - 28,10 - 13,15.5 - 20,39 - 51,111,Finnish Spitz,"Hunting birds, small mammals",Non-Sporting,12 - 15 years,"Playful, Loyal, Independent, Intelligent, Happy, Vocal",,3PjHlQbkV,3PjHlQbkV,500,417,https://cdn2.thedogapi.com/images/3PjHlQbkV.jpg,,,
28,13,11 - 12,28 - 30,113,French Bulldog,Lapdog,Non-Sporting,9 - 11 years,"Playful, Affectionate, Keen, Sociable, Lively, Alert, Easygoing, Patient, Athletic, Bright",,HyWNfxc47,HyWNfxc47,740,430,https://cdn2.thedogapi.com/images/HyWNfxc47.jpg,,,
25 - 45,11 - 20,17 - 20,43 - 51,114,German Pinscher,"Watchdog, Hunting vermin on the farm.",Working,12 - 14 years,"Spirited, Lively, Intelligent, Loving, Even Tempered, Familial",,B1u4zgqE7,B1u4zgqE7,740,480,https://cdn2.thedogapi.com/images/B1u4zgqE7.jpg,,,
50 - 90,23 - 41,22 - 26,56 - 66,115,German Shepherd Dog,"Herding, Guard dog",Herding,10 - 13 years,"Alert, Loyal, Obedient, Curious, Confident, Intelligent, Watchful, Courageous",,SJyBfg5NX,SJyBfg5NX,600,425,https://cdn2.thedogapi.com/images/SJyBfg5NX.jpg,,,
45 - 70,20 - 32,21 - 25,53 - 64,116,German Shorthaired Pointer,General hunting,Sporting,12 - 14 years,"Boisterous, Bold, Affectionate, Intelligent, Cooperative, Trainable",,SJqBMg5Nm,SJqBMg5Nm,1395,1230,https://cdn2.thedogapi.com/images/SJqBMg5Nm.jpg,,,
65 - 90,29 - 41,23.5 - 27.5,60 - 70,119,Giant Schnauzer,"Herding, guarding",Working,10 - 12 years,"Strong Willed, Kind, Loyal, Intelligent, Dominant, Powerful",,H1NIzlcV7,H1NIzlcV7,900,600,https://cdn2.thedogapi.com/images/H1NIzlcV7.jpg,,,
32 - 40,15 - 18,12.5 - 14,32 - 36,120,Glen of Imaal Terrier,"Rid the home and farm of vermin, and hunt badger and fox",Terrier,12 - 15 years,"Spirited, Agile, Loyal, Gentle, Active, Courageous",,H1oLMe94m,H1oLMe94m,645,380,https://cdn2.thedogapi.com/images/H1oLMe94m.jpg,,,
55 - 75,25 - 34,21.5 - 24,55 - 61,121,Golden Retriever,Retrieving,Sporting,10 - 12 years,"Intelligent, Kind, Reliable, Friendly, Trustworthy, Confident",,HJ7Pzg5EQ,HJ7Pzg5EQ,900,652,https://cdn2.thedogapi.com/images/HJ7Pzg5EQ.jpg,,,
45 - 80,20 - 36,23 - 27,58 - 69,123,Gordon Setter,Find and point gamebirds,Sporting,10 - 12 years,"Fearless, Alert, Loyal, Confident, Gay, Eager",,SJ5vzx5NX,SJ5vzx5NX,622,467,https://cdn2.thedogapi.com/images/SJ5vzx5NX.jpg,,,
110 - 190,50 - 86,28 - 32,71 - 81,124,Great Dane,"Hunting & holding boars, Guardian",Working,7 - 10 years,"Friendly, Devoted, Reserved, Gentle, Confident, Loving",,B1Edfl9NX,B1Edfl9NX,800,732,https://cdn2.thedogapi.com/images/B1Edfl9NX.jpg,,,
85 - 115,39 - 52,25 - 32,64 - 81,125,Great Pyrenees,Sheep guardian,Working,10 - 12 years,"Strong Willed, Fearless, Affectionate, Patient, Gentle, Confident",,B12uzg9V7,B12uzg9V7,800,550,https://cdn2.thedogapi.com/images/B12uzg9V7.png,,,
